Core_ID,Events,EPS
5,100000,120192.31
14,100000,120336.94
10,100000,120048.02
13,100000,120192.31
4,100000,120048.02
7,100000,120048.02
9,100000,120048.02
3,100000,120048.02
8,100000,120048.02
1,100000,120048.02
15,100000,120048.02
6,100000,120048.02
12,100000,120192.31
11,100000,120192.31
0,100000,120192.31
2,100000,120048.02
9,200000,183486.24
7,200000,183486.24
8,200000,183486.24
12,200000,183486.24
15,200000,183486.24
4,200000,183486.24
10,200000,183486.24
2,200000,183823.53
1,200000,183486.24
13,200000,183150.18
11,200000,183150.18
3,200000,183150.18
5,200000,183150.18
6,200000,183150.18
14,200000,182815.36
0,200000,183150.18
7,300000,188323.92
12,300000,188323.92
8,300000,188323.92
2,300000,188323.92
10,300000,188323.92
9,300000,188323.92
0,300000,188679.25
5,300000,188679.25
4,300000,188323.92
11,300000,188679.25
1,300000,188323.92
14,300000,188679.25
15,300000,188323.92
13,300000,188679.25
3,300000,188679.25
6,300000,188679.25
3,400000,190114.07
9,400000,190114.07
11,400000,190114.07
7,400000,190114.07
8,400000,190114.07
12,400000,190114.07
13,400000,190114.07
6,400000,190114.07
0,400000,190114.07
15,400000,190114.07
4,400000,190114.07
1,400000,190114.07
5,400000,190114.07
10,400000,190114.07
14,400000,189753.32
2,400000,189753.32
9,500000,188679.25
10,500000,188679.25
8,500000,188679.25
14,500000,189035.92
11,500000,188679.25
0,500000,188679.25
3,500000,188679.25
1,500000,188679.25
5,500000,188679.25
2,500000,189035.92
15,500000,188679.25
7,500000,188679.25
12,500000,188679.25
6,500000,188679.25
4,500000,188679.25
13,500000,188679.25
0,600000,170648.46
2,600000,170648.46
5,600000,170648.46
4,600000,170648.46
13,600000,170648.46
12,600000,170648.46
14,600000,170648.46
11,600000,170648.46
1,600000,170648.46
10,600000,170648.46
6,600000,170648.46
3,600000,170648.46
9,600000,170648.46
15,600000,170648.46
8,600000,170648.46
7,600000,170648.46
13,700000,190839.69
0,700000,190839.69
1,700000,190839.69
12,700000,190839.69
4,700000,190839.69
9,700000,190839.69
15,700000,190839.69
8,700000,190476.19
2,700000,190839.69
11,700000,190476.19
7,700000,190476.19
14,700000,190476.19
10,700000,190476.19
6,700000,190476.19
3,700000,190476.19
5,700000,190476.19
0,800000,189035.92
14,800000,189393.94
1,800000,189393.94
6,800000,189393.94
2,800000,189035.92
7,800000,189393.94
5,800000,189393.94
12,800000,189035.92
10,800000,189393.94
11,800000,189393.94
13,800000,189035.92
4,800000,189035.92
8,800000,189393.94
9,800000,189035.92
3,800000,189393.94
15,800000,189035.92
0,900000,55679.29
8,900000,55679.29
1,900000,55648.30
4,900000,55679.29
11,900000,55679.29
7,900000,55679.29
15,900000,55679.29
10,900000,55679.29
14,900000,55679.29
9,900000,55679.29
5,900000,55679.29
13,900000,55679.29
3,900000,55679.29
6,900000,55679.29
12,900000,55679.29
2,900000,55648.30
9,1000000,187617.26
0,1000000,187617.26
6,1000000,187617.26
8,1000000,187617.26
10,1000000,187617.26
2,1000000,187969.92
14,1000000,187617.26
11,1000000,187617.26
1,1000000,187617.26
4,1000000,187617.26
5,1000000,187617.26
15,1000000,187617.26
13,1000000,187265.92
7,1000000,187265.92
3,1000000,187265.92
12,1000000,187265.92
3,1100000,201612.90
5,1100000,201207.24
9,1100000,200803.21
0,1100000,200803.21
15,1100000,200803.21
12,1100000,201207.24
8,1100000,200803.21
11,1100000,200803.21
2,1100000,200803.21
10,1100000,200803.21
14,1100000,200803.21
7,1100000,201207.24
1,1100000,200803.21
4,1100000,200803.21
6,1100000,200803.21
13,1100000,201207.24
13,1200000,177619.89
12,1200000,177619.89
7,1200000,177619.89
11,1200000,177619.89
0,1200000,177619.89
5,1200000,177304.96
4,1200000,177619.89
1,1200000,177619.89
9,1200000,177619.89
14,1200000,177619.89
2,1200000,177619.89
6,1200000,177619.89
15,1200000,177619.89
8,1200000,177619.89
10,1200000,177304.96
3,1200000,176991.15
14,1300000,87032.20
11,1300000,87032.20
5,1300000,87032.20
1,1300000,87032.20
8,1300000,87032.20
7,1300000,87032.20
0,1300000,87032.20
10,1300000,87108.01
9,1300000,87032.20
3,1300000,87108.01
15,1300000,87032.20
13,1300000,87032.20
2,1300000,87032.20
6,1300000,87032.20
4,1300000,87032.20
12,1300000,87032.20
3,1400000,28034.76
9,1400000,28042.62
12,1400000,28042.62
4,1400000,28034.76
5,1400000,28042.62
1,1400000,28042.62
6,1400000,28034.76
13,1400000,28042.62
15,1400000,28034.76
8,1400000,28034.76
2,1400000,28034.76
10,1400000,28034.76
0,1400000,28034.76
11,1400000,28042.62
14,1400000,28034.76
7,1400000,28034.76
3,1500000,273972.60
9,1500000,273224.04
13,1500000,273224.04
0,1500000,273972.60
2,1500000,273972.60
11,1500000,273224.04
10,1500000,273972.60
15,1500000,273972.60
12,1500000,273224.04
8,1500000,273972.60
7,1500000,273972.60
4,1500000,273972.60
14,1500000,273972.60
1,1500000,273224.04
5,1500000,273224.04
6,1500000,273972.60
1,1600000,202020.20
7,1600000,202020.20
2,1600000,202020.20
4,1600000,202020.20
10,1600000,202020.20
0,1600000,202020.20
13,1600000,202020.20
6,1600000,202020.20
15,1600000,202020.20
5,1600000,202020.20
8,1600000,202020.20
9,1600000,202020.20
14,1600000,202020.20
12,1600000,202020.20
3,1600000,202020.20
11,1600000,202020.20
12,1700000,160256.41
9,1700000,160256.41
8,1700000,160256.41
3,1700000,160256.41
5,1700000,160256.41
10,1700000,160256.41
11,1700000,160256.41
2,1700000,160256.41
13,1700000,160256.41
7,1700000,160256.41
14,1700000,160256.41
6,1700000,160256.41
0,1700000,160000.00
4,1700000,160000.00
1,1700000,160000.00
15,1700000,160000.00
3,1800000,47778.31
1,1800000,47801.15
12,1800000,47778.31
8,1800000,47778.31
5,1800000,47778.31
10,1800000,47778.31
