Core_ID,Events,EPS
0,100000,240384.62
3,100000,240384.62
1,100000,240384.62
2,100000,240384.62
5,100000,240384.62
4,100000,240384.62
1,200000,456621.00
3,200000,456621.00
0,200000,456621.00
4,200000,456621.00
5,200000,456621.00
2,200000,456621.00
2,300000,507614.21
0,300000,507614.21
1,300000,507614.21
5,300000,507614.21
3,300000,507614.21
4,300000,507614.21
1,400000,505050.51
5,400000,505050.51
2,400000,505050.51
0,400000,505050.51
3,400000,505050.51
4,400000,505050.51
3,500000,666666.67
4,500000,666666.67
1,500000,666666.67
2,500000,666666.67
5,500000,666666.67
0,500000,666666.67
1,600000,505050.51
3,600000,505050.51
0,600000,505050.51
5,600000,505050.51
2,600000,505050.51
4,600000,505050.51
1,700000,581395.35
5,700000,581395.35
4,700000,581395.35
2,700000,581395.35
0,700000,581395.35
3,700000,581395.35
5,800000,507614.21
0,800000,507614.21
4,800000,507614.21
2,800000,507614.21
1,800000,507614.21
3,800000,507614.21
0,900000,543478.26
5,900000,543478.26
3,900000,543478.26
4,900000,543478.26
2,900000,543478.26
1,900000,543478.26
0,1000000,621118.01
3,1000000,621118.01
2,1000000,621118.01
4,1000000,621118.01
1,1000000,617283.95
5,1000000,617283.95
5,1100000,568181.82
0,1100000,564971.75
1,1100000,568181.82
3,1100000,564971.75
2,1100000,564971.75
4,1100000,564971.75
3,1200000,602409.64
2,1200000,602409.64
5,1200000,602409.64
0,1200000,602409.64
1,1200000,602409.64
4,1200000,602409.64
4,1300000,392156.86
3,1300000,392156.86
1,1300000,392156.86
5,1300000,392156.86
2,1300000,392156.86
0,1300000,392156.86
4,1400000,602409.64
1,1400000,602409.64
0,1400000,602409.64
2,1400000,602409.64
3,1400000,602409.64
5,1400000,602409.64
4,1500000,561797.75
2,1500000,564971.75
5,1500000,564971.75
0,1500000,561797.75
3,1500000,564971.75
1,1500000,564971.75
1,1600000,568181.82
2,1600000,568181.82
3,1600000,568181.82
0,1600000,571428.57
5,1600000,568181.82
4,1600000,571428.57
3,1700000,540540.54
0,1700000,540540.54
4,1700000,540540.54
2,1700000,540540.54
1,1700000,540540.54
5,1700000,540540.54
5,1800000,24366.47
0,1800000,24366.47
1,1800000,24366.47
3,1800000,24366.47
2,1800000,24360.54
4,1800000,24354.60
3,1900000,549450.55
1,1900000,549450.55
4,1900000,555555.56
5,1900000,549450.55
2,1900000,552486.19
0,1900000,549450.55
2,2000000,694444.44
4,2000000,694444.44
3,2000000,694444.44
0,2000000,694444.44
1,2000000,694444.44
5,2000000,694444.44
3,2100000,520833.33
2,2100000,520833.33
4,2100000,520833.33
5,2100000,520833.33
1,2100000,520833.33
0,2100000,520833.33
5,2200000,529100.53
4,2200000,529100.53
1,2200000,529100.53
2,2200000,529100.53
0,2200000,529100.53
3,2200000,529100.53
1,2300000,497512.44
2,2300000,497512.44
4,2300000,497512.44
3,2300000,497512.44
5,2300000,497512.44
0,2300000,497512.44
4,2400000,15351.55
2,2400000,15351.55
3,2400000,15351.55
1,2400000,15351.55
5,2400000,15351.55
0,2400000,15351.55
3,2500000,724637.68
2,2500000,719424.46
0,2500000,724637.68
5,2500000,719424.46
1,2500000,719424.46
4,2500000,719424.46
2,2600000,558659.22
3,2600000,555555.56
0,2600000,555555.56
1,2600000,558659.22
5,2600000,558659.22
4,2600000,558659.22
0,2700000,714285.71
3,2700000,714285.71
1,2700000,714285.71
5,2700000,714285.71
4,2700000,714285.71
2,2700000,714285.71
1,2800000,518134.72
2,2800000,518134.72
4,2800000,515463.92
0,2800000,515463.92
3,2800000,515463.92
5,2800000,515463.92
5,2900000,540540.54
0,2900000,540540.54
3,2900000,537634.41
4,2900000,537634.41
1,2900000,534759.36
2,2900000,534759.36
5,3000000,515463.92
4,3000000,518134.72
2,3000000,518134.72
0,3000000,515463.92
1,3000000,518134.72
3,3000000,518134.72
5,3100000,505050.51
4,3100000,505050.51
3,3100000,505050.51
2,3100000,505050.51
1,3100000,505050.51
0,3100000,505050.51
4,3200000,555555.56
0,3200000,555555.56
3,3200000,555555.56
5,3200000,555555.56
2,3200000,555555.56
1,3200000,555555.56
1,3300000,568181.82
2,3300000,568181.82
4,3300000,564971.75
0,3300000,564971.75
5,3300000,564971.75
3,3300000,564971.75
5,3400000,512820.51
4,3400000,512820.51
2,3400000,510204.08
1,3400000,510204.08
0,3400000,512820.51
3,3400000,512820.51
4,3500000,520833.33
3,3500000,520833.33
0,3500000,520833.33
1,3500000,520833.33
5,3500000,520833.33
2,3500000,520833.33
4,3600000,495049.50
1,3600000,495049.50
5,3600000,495049.50
3,3600000,495049.50
2,3600000,495049.50
0,3600000,495049.50
1,3700000,434782.61
