Core_ID,Events,EPS
15,100000,99108.03
0,100000,99206.35
14,100000,99108.03
1,100000,99206.35
4,100000,99108.03
12,100000,99108.03
18,100000,99108.03
10,100000,99108.03
2,100000,99108.03
6,100000,99108.03
9,100000,99108.03
7,100000,99108.03
16,100000,99108.03
5,100000,99108.03
11,100000,99108.03
3,100000,99108.03
13,100000,99108.03
19,100000,99108.03
17,100000,98911.97
8,100000,98911.97
14,200000,157232.70
5,200000,157232.70
7,200000,157232.70
6,200000,157232.70
2,200000,157232.70
10,200000,157232.70
12,200000,157232.70
17,200000,157728.71
8,200000,157480.31
1,200000,156739.81
15,200000,156985.87
4,200000,156985.87
0,200000,156739.81
18,200000,156985.87
3,200000,156985.87
11,200000,156985.87
19,200000,156985.87
16,200000,156985.87
13,200000,156985.87
9,200000,156985.87
5,300000,151745.07
7,300000,151745.07
14,300000,151745.07
15,300000,151975.68
3,300000,151975.68
12,300000,151745.07
4,300000,151975.68
18,300000,151975.68
8,300000,151975.68
0,300000,151975.68
19,300000,151745.07
11,300000,151745.07
6,300000,151515.15
10,300000,151515.15
2,300000,151515.15
1,300000,151745.07
16,300000,151745.07
13,300000,151745.07
17,300000,151515.15
9,300000,151745.07
3,400000,142857.14
13,400000,143061.52
17,400000,143061.52
15,400000,142857.14
6,400000,143061.52
4,400000,142857.14
5,400000,142857.14
1,400000,143061.52
12,400000,142857.14
19,400000,143061.52
14,400000,142857.14
0,400000,142857.14
8,400000,142857.14
11,400000,143061.52
7,400000,142857.14
18,400000,142857.14
2,400000,143061.52
16,400000,143061.52
9,400000,143061.52
10,400000,143061.52
1,500000,152207.00
6,500000,152207.00
17,500000,152207.00
4,500000,152207.00
19,500000,152207.00
0,500000,152207.00
14,500000,152207.00
10,500000,152207.00
18,500000,152207.00
11,500000,152207.00
7,500000,152207.00
8,500000,152207.00
16,500000,152207.00
2,500000,152207.00
5,500000,151975.68
9,500000,151975.68
12,500000,151975.68
3,500000,151975.68
15,500000,151975.68
13,500000,151975.68
11,600000,48995.59
17,600000,48995.59
10,600000,48995.59
15,600000,48995.59
19,600000,48995.59
18,600000,48995.59
12,600000,48995.59
5,600000,48995.59
13,600000,48995.59
1,600000,48971.60
16,600000,48971.60
4,600000,48971.60
7,600000,48971.60
3,600000,48995.59
14,600000,48971.60
2,600000,48971.60
6,600000,48971.60
9,600000,48995.59
0,600000,48971.60
8,600000,48971.60
8,700000,149476.83
4,700000,149476.83
15,700000,149253.73
10,700000,149253.73
17,700000,149253.73
18,700000,149253.73
16,700000,149476.83
2,700000,149253.73
1,700000,149476.83
7,700000,149476.83
6,700000,149253.73
13,700000,149253.73
14,700000,149253.73
11,700000,149031.30
9,700000,149253.73
19,700000,149031.30
12,700000,149253.73
0,700000,149253.73
5,700000,149253.73
3,700000,149253.73
3,800000,153374.23
17,800000,153139.36
9,800000,153374.23
4,800000,153139.36
8,800000,153139.36
19,800000,153374.23
11,800000,153374.23
5,800000,153374.23
12,800000,153139.36
7,800000,153139.36
2,800000,153374.23
14,800000,153139.36
10,800000,152905.20
16,800000,152905.20
15,800000,153139.36
6,800000,153139.36
1,800000,153139.36
0,800000,153139.36
13,800000,153139.36
18,800000,152905.20
14,900000,138888.89
6,900000,138888.89
2,900000,138696.26
9,900000,138696.26
12,900000,138696.26
10,900000,138696.26
13,900000,138696.26
5,900000,138504.16
15,900000,138696.26
7,900000,138504.16
16,900000,138696.26
17,900000,138504.16
8,900000,138504.16
4,900000,138504.16
3,900000,138504.16
1,900000,138504.16
0,900000,138696.26
19,900000,138504.16
11,900000,138504.16
18,900000,138696.26
17,1000000,140845.07
1,1000000,140845.07
5,1000000,140845.07
9,1000000,140646.98
8,1000000,140845.07
16,1000000,140845.07
12,1000000,140646.98
0,1000000,140646.98
7,1000000,140646.98
14,1000000,140449.44
4,1000000,140646.98
6,1000000,140449.44
13,1000000,140646.98
2,1000000,140449.44
3,1000000,140646.98
10,1000000,140646.98
15,1000000,140646.98
19,1000000,140646.98
11,1000000,140646.98
18,1000000,140646.98
13,1100000,23992.32
8,1100000,23986.57
16,1100000,23986.57
19,1100000,23992.32
15,1100000,23992.32
4,1100000,23992.32
14,1100000,23992.32
5,1100000,23986.57
6,1100000,23992.32
0,1100000,23992.32
11,1100000,23992.32
18,1100000,23992.32
2,1100000,23992.32
7,1100000,23992.32
3,1100000,23992.32
10,1100000,23992.32
1,1100000,23986.57
12,1100000,23986.57
9,1100000,23980.82
17,1100000,23980.82
14,1200000,170068.03
17,1200000,170357.75
5,1200000,170068.03
1,1200000,170068.03
9,1200000,170357.75
13,1200000,170068.03
15,1200000,170068.03
16,1200000,170068.03
4,1200000,170068.03
2,1200000,170068.03
11,1200000,170068.03
6,1200000,170068.03
12,1200000,170357.75
19,1200000,170068.03
10,1200000,170068.03
0,1200000,170068.03
18,1200000,170068.03
8,1200000,170068.03
3,1200000,170068.03
7,1200000,170068.03
14,1300000,39588.28
9,1300000,39588.28
8,1300000,39588.28
16,1300000,39588.28
3,1300000,39588.28
2,1300000,39588.28
12,1300000,39588.28
13,1300000,39588.28
10,1300000,39588.28
6,1300000,39588.28
11,1300000,39588.28
1,1300000,39588.28
5,1300000,39588.28
19,1300000,39588.28
7,1300000,39588.28
18,1300000,39588.28
0,1300000,39572.62
17,1300000,39572.62
4,1300000,39572.62
15,1300000,39572.62
9,1400000,151057.40
12,1400000,151057.40
2,1400000,151057.40
1,1400000,151057.40
10,1400000,151057.40
17,1400000,151285.93
6,1400000,151057.40
15,1400000,151285.93
7,1400000,151057.40
14,1400000,151057.40
5,1400000,151057.40
8,1400000,151057.40
4,1400000,151285.93
13,1400000,151057.40
19,1400000,151057.40
0,1400000,151285.93
11,1400000,151057.40
3,1400000,151057.40
16,1400000,150829.56
18,1400000,150829.56
4,1500000,195694.72
11,1500000,195694.72
15,1500000,166944.91
12,1500000,195694.72
8,1500000,166944.91
10,1500000,166944.91
1,1500000,166944.91
6,1500000,166944.91
13,1500000,166944.91
14,1500000,166666.67
7,1500000,166944.91
5,1500000,166666.67
19,1500000,166666.67
9,1500000,166666.67
16,1500000,166944.91
3,1500000,166666.67
0,1500000,166666.67
17,1500000,166666.67
2,1500000,166666.67
18,1500000,166944.91
9,1600000,154559.51
11,1600000,135869.57
14,1600000,154559.51
18,1600000,154559.51
5,1600000,154559.51
3,1600000,154320.99
8,1600000,154083.20
2,1600000,154320.99
6,1600000,154083.20
10,1600000,154083.20
13,1600000,154083.20
0,1600000,154320.99
16,1600000,154320.99
7,1600000,154083.20
4,1600000,135685.21
15,1600000,154083.20
19,1600000,154320.99
1,1600000,154083.20
12,1600000,135685.21
17,1600000,154320.99
15,1700000,145348.84
11,1700000,145137.88
0,1700000,145348.84
7,1700000,145348.84
9,1700000,145137.88
1,1700000,145348.84
4,1700000,145348.84
8,1700000,145348.84
13,1700000,145348.84
3,1700000,145348.84
2,1700000,145348.84
14,1700000,145137.88
5,1700000,145137.88
19,1700000,145348.84
6,1700000,145348.84
18,1700000,145137.88
10,1700000,145137.88
17,1700000,145137.88
16,1700000,145137.88
12,1700000,145137.88
10,1800000,41356.49
13,1800000,41339.40
5,1800000,41339.40
4,1800000,41339.40
7,1800000,41339.40
9,1800000,41339.40
0,1800000,41339.40
1,1800000,41339.40
8,1800000,41339.40
3,1800000,41339.40
18,1800000,41339.40
14,1800000,41339.40
2,1800000,41339.40
16,1800000,41356.49
17,1800000,41356.49
15,1800000,41339.40
6,1800000,41339.40
12,1800000,41356.49
19,1800000,41322.31
11,1800000,41322.31
9,1900000,127388.54
14,1900000,127388.54
18,1900000,127388.54
6,1900000,127388.54
16,1900000,127388.54
4,1900000,127388.54
8,1900000,127388.54
11,1900000,127551.02
7,1900000,127388.54
19,1900000,127551.02
0,1900000,127388.54
1,1900000,127388.54
3,1900000,127388.54
2,1900000,127388.54
13,1900000,127388.54
15,1900000,127388.54
17,1900000,127226.46
5,1900000,127226.46
12,1900000,127226.46
10,1900000,127226.46
11,2000000,123609.39
3,2000000,123609.39
0,2000000,123609.39
13,2000000,123456.79
9,2000000,123609.39
1,2000000,123609.39
17,2000000,123609.39
5,2000000,123762.38
4,2000000,123456.79
6,2000000,123456.79
12,2000000,123609.39
2,2000000,123456.79
14,2000000,123456.79
8,2000000,123456.79
10,2000000,123609.39
16,2000000,123456.79
19,2000000,123456.79
18,2000000,123456.79
15,2000000,123456.79
7,2000000,123456.79
18,2100000,120772.95
13,2100000,120772.95
16,2100000,120772.95
1,2100000,120627.26
11,2100000,120627.26
2,2100000,120772.95
10,2100000,120772.95
15,2100000,120772.95
19,2100000,120772.95
9,2100000,120481.93
4,2100000,120627.26
8,2100000,120627.26
3,2100000,120481.93
7,2100000,120627.26
6,2100000,120627.26
17,2100000,120627.26
14,2100000,120627.26
12,2100000,120627.26
5,2100000,120481.93
0,2100000,120481.93
7,2200000,34940.60
13,2200000,34928.40
5,2200000,34940.60
10,2200000,34928.40
3,2200000,34940.60
17,2200000,34940.60
12,2200000,34940.60
0,2200000,34940.60
19,2200000,34928.40
1,2200000,34928.40
16,2200000,34928.40
6,2200000,34940.60
14,2200000,34940.60
9,2200000,34940.60
15,2200000,34928.40
4,2200000,34940.60
18,2200000,34928.40
8,2200000,34940.60
2,2200000,34928.40
11,2200000,34916.20
15,2300000,136054.42
2,2300000,136054.42
16,2300000,135869.57
11,2300000,136239.78
18,2300000,135869.57
1,2300000,136054.42
7,2300000,135869.57
12,2300000,136054.42
3,2300000,135869.57
4,2300000,135869.57
6,2300000,135869.57
0,2300000,135869.57
13,2300000,135869.57
19,2300000,135869.57
17,2300000,135869.57
10,2300000,135869.57
9,2300000,135869.57
5,2300000,135869.57
8,2300000,135869.57
14,2300000,135869.57
19,2400000,136798.91
14,2400000,136798.91
11,2400000,136612.02
18,2400000,136798.91
2,2400000,136612.02
13,2400000,136798.91
0,2400000,136798.91
1,2400000,136612.02
16,2400000,136798.91
5,2400000,136612.02
15,2400000,136425.65
3,2400000,136612.02
12,2400000,136425.65
4,2400000,136612.02
8,2400000,136612.02
9,2400000,136612.02
6,2400000,136612.02
7,2400000,136612.02
10,2400000,136612.02
17,2400000,136612.02
9,2500000,120481.93
1,2500000,120336.94
18,2500000,120336.94
7,2500000,120481.93
15,2500000,120481.93
19,2500000,120336.94
4,2500000,120481.93
6,2500000,120336.94
2,2500000,120192.31
3,2500000,120336.94
17,2500000,120336.94
0,2500000,120192.31
16,2500000,120192.31
11,2500000,120192.31
12,2500000,120336.94
10,2500000,120336.94
14,2500000,120192.31
13,2500000,120192.31
5,2500000,120336.94
8,2500000,120336.94
16,2600000,39385.58
3,2600000,39385.58
9,2600000,39370.08
6,2600000,39385.58
14,2600000,39385.58
15,2600000,39370.08
12,2600000,39385.58
5,2600000,39385.58
19,2600000,39370.08
0,2600000,39385.58
13,2600000,39385.58
7,2600000,39370.08
18,2600000,39370.08
8,2600000,39370.08
11,2600000,39370.08
17,2600000,39370.08
1,2600000,39354.58
2,2600000,39370.08
4,2600000,39354.58
10,2600000,39370.08
14,2700000,129701.69
2,2700000,129870.13
18,2700000,129701.69
12,2700000,129701.69
17,2700000,129870.13
13,2700000,129701.69
0,2700000,129701.69
5,2700000,129701.69
15,2700000,129701.69
11,2700000,129870.13
4,2700000,129870.13
8,2700000,129870.13
19,2700000,129533.68
3,2700000,129533.68
1,2700000,129701.69
6,2700000,129533.68
10,2700000,129701.69
16,2700000,129533.68
9,2700000,129533.68
7,2700000,129533.68
7,2800000,132100.40
1,2800000,132100.40
12,2800000,131926.12
6,2800000,132100.40
4,2800000,131926.12
2,2800000,131926.12
17,2800000,131926.12
11,2800000,131926.12
5,2800000,131926.12
9,2800000,131926.12
16,2800000,131926.12
0,2800000,131752.31
13,2800000,131752.31
3,2800000,131926.12
15,2800000,131752.31
19,2800000,131926.12
10,2800000,131926.12
14,2800000,131752.31
18,2800000,131752.31
8,2800000,131752.31
12,2900000,119617.22
15,2900000,119760.48
9,2900000,119760.48
8,2900000,119760.48
6,2900000,119617.22
2,2900000,119617.22
17,2900000,119617.22
10,2900000,119760.48
16,2900000,119760.48
19,2900000,119760.48
0,2900000,119760.48
5,2900000,119617.22
13,2900000,119760.48
18,2900000,119760.48
14,2900000,119760.48
11,2900000,119617.22
1,2900000,119617.22
7,2900000,119617.22
3,2900000,119617.22
4,2900000,119474.31
5,3000000,35373.19
3,3000000,35385.70
10,3000000,35373.19
15,3000000,35373.19
12,3000000,35373.19
13,3000000,35373.19
19,3000000,35373.19
0,3000000,35373.19
6,3000000,35360.68
11,3000000,35360.68
4,3000000,35373.19
8,3000000,35360.68
17,3000000,35360.68
18,3000000,35360.68
16,3000000,35360.68
9,3000000,35360.68
1,3000000,35360.68
14,3000000,35360.68
7,3000000,35360.68
2,3000000,35360.68
6,3100000,154320.99
3,3100000,154083.20
7,3100000,154320.99
5,3100000,154083.20
8,3100000,154559.51
17,3100000,154320.99
19,3100000,154083.20
9,3100000,154320.99
13,3100000,154083.20
1,3100000,154320.99
18,3100000,154320.99
12,3100000,154083.20
10,3100000,154083.20
14,3100000,154320.99
11,3100000,154320.99
15,3100000,154083.20
4,3100000,154083.20
16,3100000,154083.20
0,3100000,153846.15
2,3100000,154083.20
9,3200000,163132.14
19,3200000,163132.14
1,3200000,163132.14
6,3200000,163132.14
0,3200000,163398.69
18,3200000,163132.14
12,3200000,163132.14
16,3200000,163398.69
13,3200000,163132.14
15,3200000,163132.14
11,3200000,163132.14
3,3200000,163132.14
14,3200000,163132.14
5,3200000,163132.14
17,3200000,163132.14
4,3200000,163398.69
7,3200000,163132.14
8,3200000,162601.63
2,3200000,163132.14
10,3200000,162866.45
7,3300000,176678.45
14,3300000,176678.45
15,3300000,176678.45
4,3300000,176678.45
12,3300000,176678.45
5,3300000,176678.45
18,3300000,176678.45
1,3300000,176678.45
17,3300000,176678.45
9,3300000,176678.45
19,3300000,176678.45
3,3300000,176678.45
2,3300000,176991.15
8,3300000,176991.15
6,3300000,176678.45
0,3300000,176678.45
13,3300000,176678.45
11,3300000,176678.45
16,3300000,176678.45
10,3300000,176991.15
19,3400000,140252.45
18,3400000,140252.45
14,3400000,140252.45
13,3400000,140252.45
11,3400000,140252.45
1,3400000,140252.45
16,3400000,140252.45
12,3400000,140252.45
5,3400000,140056.02
7,3400000,140056.02
0,3400000,140056.02
2,3400000,140056.02
4,3400000,140056.02
6,3400000,140056.02
10,3400000,140056.02
3,3400000,140056.02
17,3400000,140056.02
8,3400000,140056.02
9,3400000,140056.02
15,3400000,140056.02
16,3500000,37050.76
11,3500000,37050.76
7,3500000,37050.76
6,3500000,37050.76
17,3500000,37050.76
10,3500000,37050.76
15,3500000,37050.76
19,3500000,37037.04
2,3500000,37050.76
5,3500000,37050.76
9,3500000,37050.76
1,3500000,37037.04
3,3500000,37050.76
13,3500000,37037.04
4,3500000,37050.76
0,3500000,37050.76
12,3500000,37037.04
8,3500000,37050.76
14,3500000,37037.04
18,3500000,37037.04
10,3600000,152905.20
18,3600000,152905.20
12,3600000,152905.20
0,3600000,152905.20
2,3600000,152905.20
17,3600000,152905.20
11,3600000,152671.76
3,3600000,152905.20
15,3600000,152905.20
14,3600000,152905.20
9,3600000,152905.20
1,3600000,152905.20
16,3600000,152671.76
8,3600000,152905.20
19,3600000,152671.76
5,3600000,152671.76
7,3600000,152671.76
4,3600000,152671.76
6,3600000,152671.76
13,3600000,152671.76
9,3700000,143678.16
11,3700000,143678.16
12,3700000,143678.16
2,3700000,143678.16
5,3700000,143884.89
3,3700000,143678.16
6,3700000,143884.89
7,3700000,143884.89
8,3700000,143678.16
15,3700000,143678.16
10,3700000,143678.16
18,3700000,143678.16
1,3700000,143678.16
14,3700000,143678.16
19,3700000,143678.16
0,3700000,143472.02
13,3700000,143678.16
4,3700000,143678.16
16,3700000,143472.02
17,3700000,143472.02
14,3800000,156006.24
19,3800000,156250.00
0,3800000,156250.00
15,3800000,156006.24
10,3800000,156006.24
2,3800000,156006.24
11,3800000,156006.24
17,3800000,156250.00
7,3800000,156006.24
18,3800000,156006.24
16,3800000,156250.00
12,3800000,156006.24
4,3800000,156250.00
1,3800000,156006.24
13,3800000,156250.00
9,3800000,156006.24
5,3800000,156006.24
8,3800000,155763.24
6,3800000,155763.24
3,3800000,155763.24
2,3900000,35523.98
3,3900000,35536.60
8,3900000,35536.60
6,3900000,35536.60
1,3900000,35523.98
13,3900000,35523.98
5,3900000,35523.98
18,3900000,35523.98
4,3900000,35523.98
10,3900000,35523.98
17,3900000,35523.98
9,3900000,35523.98
19,3900000,35523.98
7,3900000,35511.36
15,3900000,35511.36
14,3900000,35511.36
