Core_ID,Events,EPS
7,100000,170940.17
1,100000,170940.17
5,100000,170940.17
8,100000,170940.17
2,100000,170940.17
3,100000,170940.17
0,100000,171232.88
6,100000,170940.17
4,100000,170940.17
5,200000,354609.93
8,200000,354609.93
6,200000,354609.93
2,200000,354609.93
3,200000,354609.93
4,200000,354609.93
7,200000,354609.93
1,200000,354609.93
0,200000,354609.93
4,300000,380228.14
3,300000,380228.14
5,300000,380228.14
6,300000,378787.88
7,300000,378787.88
0,300000,380228.14
2,300000,380228.14
1,300000,380228.14
8,300000,378787.88
7,400000,414937.76
0,400000,413223.14
3,400000,413223.14
1,400000,413223.14
8,400000,414937.76
6,400000,414937.76
2,400000,413223.14
4,400000,413223.14
5,400000,413223.14
3,500000,357142.86
7,500000,357142.86
6,500000,357142.86
2,500000,357142.86
4,500000,357142.86
0,500000,357142.86
8,500000,357142.86
5,500000,357142.86
1,500000,357142.86
6,600000,400000.00
3,600000,400000.00
5,600000,400000.00
1,600000,401606.43
7,600000,400000.00
0,600000,400000.00
4,600000,400000.00
8,600000,400000.00
2,600000,400000.00
8,700000,383141.76
0,700000,383141.76
3,700000,383141.76
7,700000,383141.76
2,700000,383141.76
4,700000,383141.76
5,700000,383141.76
1,700000,381679.39
6,700000,383141.76
3,800000,352112.68
5,800000,352112.68
7,800000,352112.68
6,800000,352112.68
0,800000,352112.68
2,800000,352112.68
1,800000,352112.68
4,800000,352112.68
8,800000,352112.68
4,900000,380228.14
1,900000,380228.14
3,900000,380228.14
5,900000,380228.14
2,900000,380228.14
7,900000,380228.14
6,900000,380228.14
0,900000,380228.14
8,900000,380228.14
4,1000000,389105.06
1,1000000,389105.06
7,1000000,390625.00
6,1000000,389105.06
3,1000000,389105.06
5,1000000,389105.06
2,1000000,390625.00
0,1000000,389105.06
8,1000000,389105.06
8,1100000,330033.00
5,1100000,330033.00
0,1100000,330033.00
2,1100000,328947.37
3,1100000,330033.00
4,1100000,330033.00
7,1100000,328947.37
1,1100000,330033.00
