Core_ID,Events,EPS
1,100000,275482.09
0,100000,274725.27
0,200000,495049.50
1,200000,492610.84
1,300000,813008.13
0,300000,806451.61
0,400000,714285.71
1,400000,704225.35
0,500000,1123595.51
1,500000,1123595.51
0,600000,1041666.67
1,600000,1030927.84
0,700000,751879.70
1,700000,757575.76
0,800000,1234567.90
1,800000,1219512.20
0,900000,1086956.52
1,900000,1098901.10
0,1000000,1136363.64
1,1000000,1136363.64
0,1100000,1098901.10
1,1100000,1086956.52
0,1200000,847457.63
1,1200000,854700.85
0,1300000,1428571.43
1,1300000,1408450.70
0,1400000,1449275.36
1,1400000,1470588.24
0,1500000,980392.16
1,1500000,980392.16
0,1600000,1449275.36
1,1600000,1449275.36
0,1700000,1020408.16
1,1700000,1020408.16
0,1800000,1408450.70
1,1800000,1388888.89
0,1900000,1000000.00
1,1900000,1000000.00
0,2000000,1086956.52
1,2000000,1098901.10
0,2100000,1098901.10
1,2100000,1098901.10
0,2200000,1111111.11
1,2200000,1098901.10
0,2300000,1098901.10
1,2300000,1098901.10
0,2400000,900900.90
1,2400000,909090.91
0,2500000,1470588.24
1,2500000,1449275.36
0,2600000,1449275.36
1,2600000,1470588.24
0,2700000,943396.23
1,2700000,943396.23
0,2800000,1369863.01
1,2800000,1369863.01
0,2900000,1492537.31
1,2900000,1492537.31
1,3000000,943396.23
0,3000000,925925.93
1,3100000,1351351.35
0,3100000,1351351.35
1,3200000,1204819.28
0,3200000,1190476.19
1,3300000,877192.98
0,3300000,884955.75
1,3400000,1449275.36
0,3400000,1449275.36
1,3500000,1428571.43
0,3500000,1428571.43
1,3600000,1020408.16
0,3600000,1020408.16
1,3700000,1449275.36
0,3700000,1470588.24
1,3800000,980392.16
0,3800000,970873.79
1,3900000,1176470.59
0,3900000,1176470.59
1,4000000,1234567.90
0,4000000,1250000.00
1,4100000,990099.01
0,4100000,990099.01
1,4200000,7788.16
0,4200000,7787.56
1,4300000,1204819.28
0,4300000,1204819.28
1,4400000,1408450.70
0,4400000,1408450.70
1,4500000,1000000.00
0,4500000,1010101.01
1,4600000,1369863.01
0,4600000,1369863.01
1,4700000,970873.79
0,4700000,961538.46
1,4800000,1369863.01
0,4800000,1388888.89
1,4900000,1075268.82
0,4900000,1063829.79
1,5000000,980392.16
0,5000000,980392.16
1,5100000,1351351.35
0,5100000,1351351.35
1,5200000,1351351.35
0,5200000,1351351.35
1,5300000,1351351.35
0,5300000,1369863.01
1,5400000,869565.22
0,5400000,862068.97
1,5500000,1369863.01
0,5500000,1351351.35
1,5600000,1351351.35
0,5600000,1369863.01
1,5700000,884955.75
0,5700000,884955.75
1,5800000,1351351.35
0,5800000,1351351.35
1,5900000,1351351.35
0,5900000,1333333.33
1,6000000,763358.78
0,6000000,769230.77
1,6100000,1351351.35
0,6100000,1351351.35
1,6200000,1020408.16
0,6200000,1010101.01
1,6300000,1351351.35
0,6300000,1369863.01
1,6400000,1063829.79
0,6400000,1063829.79
1,6500000,1052631.58
0,6500000,1052631.58
1,6600000,1298701.30
0,6600000,1298701.30
1,6700000,1298701.30
0,6700000,1298701.30
1,6800000,23736.06
0,6800000,23730.42
1,6900000,1298701.30
0,6900000,1315789.47
1,7000000,1388888.89
0,7000000,1388888.89
1,7100000,787401.57
0,7100000,787401.57
1,7200000,1333333.33
0,7200000,1333333.33
1,7300000,1176470.59
0,7300000,1176470.59
1,7400000,1000000.00
0,7400000,1000000.00
1,7500000,1351351.35
0,7500000,1351351.35
1,7600000,1333333.33
0,7600000,1333333.33
1,7700000,952380.95
0,7700000,952380.95
1,7800000,14112.33
0,7800000,14112.33
1,7900000,1219512.20
0,7900000,1219512.20
1,8000000,1428571.43
0,8000000,1428571.43
1,8100000,1351351.35
0,8100000,1351351.35
1,8200000,1265822.78
0,8200000,1250000.00
1,8300000,877192.98
0,8300000,884955.75
1,8400000,1408450.70
0,8400000,1408450.70
1,8500000,1388888.89
0,8500000,1388888.89
1,8600000,1369863.01
0,8600000,1369863.01
1,8700000,787401.57
0,8700000,781250.00
1,8800000,1388888.89
0,8800000,1408450.70
1,8900000,1408450.70
0,8900000,1408450.70
1,9000000,847457.63
0,9000000,847457.63
1,9100000,1351351.35
0,9100000,1351351.35
1,9200000,1388888.89
0,9200000,1388888.89
1,9300000,1449275.36
0,9300000,1428571.43
1,9400000,1234567.90
