Core_ID,Events,EPS
1,100000,299401.20
2,100000,298507.46
0,100000,298507.46
1,200000,645161.29
0,200000,649350.65
2,200000,645161.29
1,300000,714285.71
2,300000,714285.71
0,300000,709219.86
1,400000,657894.74
2,400000,657894.74
0,400000,653594.77
1,500000,826446.28
2,500000,826446.28
0,500000,833333.33
1,600000,645161.29
0,600000,645161.29
2,600000,645161.29
1,700000,775193.80
0,700000,775193.80
2,700000,775193.80
1,800000,645161.29
0,800000,645161.29
2,800000,645161.29
1,900000,729927.01
0,900000,729927.01
2,900000,724637.68
1,1000000,704225.35
0,1000000,709219.86
2,1000000,709219.86
1,1100000,763358.78
0,1100000,763358.78
2,1100000,763358.78
1,1200000,970873.79
0,1200000,970873.79
2,1200000,970873.79
1,1300000,729927.01
0,1300000,729927.01
2,1300000,729927.01
0,1400000,781250.00
1,1400000,781250.00
2,1400000,775193.80
1,1500000,689655.17
0,1500000,684931.51
2,1500000,689655.17
1,1600000,854700.85
0,1600000,862068.97
2,1600000,854700.85
1,1700000,645161.29
0,1700000,645161.29
2,1700000,649350.65
0,1800000,781250.00
1,1800000,781250.00
2,1800000,775193.80
1,1900000,740740.74
0,1900000,740740.74
2,1900000,746268.66
0,2000000,21701.39
1,2000000,21701.39
2,2000000,21701.39
0,2100000,952380.95
1,2100000,952380.95
2,2100000,952380.95
0,2200000,961538.46
1,2200000,952380.95
2,2200000,961538.46
0,2300000,628930.82
1,2300000,632911.39
2,2300000,628930.82
0,2400000,16053.94
2,2400000,16056.52
1,2400000,16053.94
1,2500000,961538.46
0,2500000,961538.46
2,2500000,961538.46
2,2600000,980392.16
1,2600000,980392.16
0,2600000,980392.16
0,2700000,709219.86
2,2700000,709219.86
1,2700000,709219.86
0,2800000,952380.95
2,2800000,952380.95
1,2800000,952380.95
2,2900000,961538.46
1,2900000,952380.95
0,2900000,952380.95
2,3000000,675675.68
1,3000000,680272.11
0,3000000,680272.11
2,3100000,961538.46
1,3100000,952380.95
0,3100000,952380.95
2,3200000,653594.77
1,3200000,653594.77
0,3200000,657894.74
2,3300000,729927.01
0,3300000,729927.01
1,3300000,735294.12
2,3400000,952380.95
0,3400000,943396.23
1,3400000,943396.23
2,3500000,952380.95
0,3500000,961538.46
1,3500000,952380.95
2,3600000,925925.93
0,3600000,925925.93
1,3600000,934579.44
2,3700000,641025.64
0,3700000,641025.64
1,3700000,636942.68
2,3800000,952380.95
0,3800000,952380.95
1,3800000,961538.46
2,3900000,961538.46
0,3900000,961538.46
1,3900000,961538.46
2,4000000,606060.61
0,4000000,606060.61
1,4000000,602409.64
0,4100000,746268.66
2,4100000,746268.66
1,4100000,751879.70
2,4200000,769230.77
0,4200000,769230.77
1,4200000,769230.77
0,4300000,892857.14
2,4300000,884955.75
1,4300000,884955.75
0,4400000,606060.61
2,4400000,609756.10
1,4400000,609756.10
2,4500000,952380.95
0,4500000,943396.23
1,4500000,943396.23
2,4600000,943396.23
0,4600000,952380.95
1,4600000,943396.23
2,4700000,645161.29
0,4700000,641025.64
1,4700000,645161.29
2,4800000,961538.46
0,4800000,970873.79
1,4800000,961538.46
2,4900000,671140.94
0,4900000,666666.67
1,4900000,666666.67
2,5000000,884955.75
0,5000000,884955.75
1,5000000,892857.14
2,5100000,588235.29
0,5100000,588235.29
1,5100000,584795.32
2,5200000,793650.79
0,5200000,793650.79
1,5200000,793650.79
2,5300000,869565.22
0,5300000,869565.22
1,5300000,869565.22
2,5400000,602409.64
0,5400000,602409.64
1,5400000,602409.64
2,5500000,7090.69
0,5500000,7091.19
1,5500000,7091.19
2,5600000,952380.95
