Core_ID,Events,EPS
4,100000,211416.49
3,100000,211416.49
5,100000,211416.49
2,100000,211416.49
6,100000,211416.49
0,100000,211416.49
1,100000,211416.49
0,200000,450450.45
4,200000,450450.45
6,200000,450450.45
2,200000,450450.45
1,200000,450450.45
5,200000,450450.45
3,200000,450450.45
5,300000,444444.44
1,300000,444444.44
6,300000,444444.44
4,300000,444444.44
3,300000,444444.44
0,300000,444444.44
2,300000,444444.44
0,400000,485436.89
3,400000,485436.89
6,400000,485436.89
2,400000,485436.89
4,400000,485436.89
5,400000,485436.89
1,400000,485436.89
3,500000,497512.44
0,500000,497512.44
4,500000,497512.44
1,500000,497512.44
2,500000,497512.44
5,500000,497512.44
6,500000,497512.44
3,600000,408163.27
6,600000,408163.27
4,600000,408163.27
0,600000,408163.27
2,600000,408163.27
5,600000,408163.27
1,600000,408163.27
5,700000,442477.88
0,700000,442477.88
4,700000,442477.88
1,700000,442477.88
6,700000,442477.88
2,700000,442477.88
3,700000,442477.88
3,800000,450450.45
1,800000,452488.69
0,800000,452488.69
2,800000,450450.45
5,800000,452488.69
6,800000,450450.45
4,800000,450450.45
4,900000,487804.88
0,900000,485436.89
2,900000,485436.89
5,900000,483091.79
3,900000,485436.89
6,900000,485436.89
1,900000,483091.79
5,1000000,483091.79
3,1000000,483091.79
1,1000000,480769.23
6,1000000,480769.23
0,1000000,478468.90
2,1000000,480769.23
4,1000000,478468.90
6,1100000,454545.45
5,1100000,452488.69
2,1100000,454545.45
1,1100000,454545.45
0,1100000,454545.45
3,1100000,452488.69
4,1100000,454545.45
3,1200000,429184.55
2,1200000,429184.55
0,1200000,429184.55
4,1200000,429184.55
6,1200000,429184.55
1,1200000,429184.55
5,1200000,429184.55
2,1300000,487804.88
6,1300000,487804.88
4,1300000,487804.88
1,1300000,487804.88
0,1300000,487804.88
5,1300000,487804.88
3,1300000,487804.88
2,1400000,456621.00
6,1400000,456621.00
3,1400000,456621.00
0,1400000,456621.00
4,1400000,456621.00
5,1400000,456621.00
1,1400000,456621.00
2,1500000,386100.39
0,1500000,386100.39
4,1500000,386100.39
5,1500000,386100.39
6,1500000,386100.39
1,1500000,386100.39
3,1500000,386100.39
5,1600000,440528.63
4,1600000,440528.63
1,1600000,440528.63
3,1600000,440528.63
0,1600000,440528.63
6,1600000,440528.63
2,1600000,440528.63
1,1700000,487804.88
5,1700000,487804.88
0,1700000,487804.88
3,1700000,487804.88
4,1700000,487804.88
2,1700000,487804.88
6,1700000,487804.88
4,1800000,555555.56
0,1800000,555555.56
2,1800000,555555.56
6,1800000,555555.56
3,1800000,555555.56
5,1800000,555555.56
1,1800000,555555.56
1,1900000,389105.06
4,1900000,387596.90
5,1900000,389105.06
3,1900000,389105.06
0,1900000,389105.06
2,1900000,389105.06
6,1900000,389105.06
6,2000000,22002.20
0,2000000,22002.20
2,2000000,22002.20
1,2000000,22002.20
4,2000000,22007.04
5,2000000,22002.20
3,2000000,22002.20
5,2100000,487804.88
6,2100000,485436.89
0,2100000,487804.88
2,2100000,485436.89
3,2100000,485436.89
4,2100000,485436.89
1,2100000,485436.89
3,2200000,588235.29
6,2200000,588235.29
5,2200000,584795.32
4,2200000,588235.29
0,2200000,584795.32
1,2200000,588235.29
2,2200000,588235.29
2,2300000,421940.93
5,2300000,421940.93
3,2300000,421940.93
4,2300000,421940.93
1,2300000,421940.93
6,2300000,421940.93
0,2300000,421940.93
2,2400000,16871.94
3,2400000,16874.79
1,2400000,16874.79
4,2400000,16871.94
5,2400000,16871.94
6,2400000,16871.94
0,2400000,16871.94
0,2500000,495049.50
6,2500000,495049.50
5,2500000,495049.50
3,2500000,492610.84
1,2500000,492610.84
4,2500000,495049.50
2,2500000,495049.50
3,2600000,526315.79
1,2600000,526315.79
6,2600000,526315.79
4,2600000,526315.79
2,2600000,526315.79
0,2600000,526315.79
5,2600000,526315.79
5,2700000,446428.57
4,2700000,446428.57
0,2700000,446428.57
6,2700000,446428.57
1,2700000,446428.57
3,2700000,446428.57
2,2700000,446428.57
0,2800000,476190.48
4,2800000,478468.90
5,2800000,476190.48
3,2800000,476190.48
6,2800000,476190.48
2,2800000,478468.90
1,2800000,478468.90
5,2900000,436681.22
0,2900000,436681.22
4,2900000,434782.61
6,2900000,436681.22
2,2900000,434782.61
3,2900000,436681.22
1,2900000,434782.61
3,3000000,540540.54
2,3000000,540540.54
6,3000000,540540.54
1,3000000,540540.54
0,3000000,540540.54
5,3000000,540540.54
4,3000000,540540.54
5,3100000,512820.51
3,3100000,512820.51
0,3100000,512820.51
6,3100000,512820.51
2,3100000,512820.51
1,3100000,512820.51
4,3100000,512820.51
4,3200000,423728.81
6,3200000,423728.81
2,3200000,423728.81
1,3200000,423728.81
0,3200000,423728.81
3,3200000,423728.81
5,3200000,423728.81
0,3300000,505050.51
6,3300000,507614.21
4,3300000,507614.21
5,3300000,505050.51
1,3300000,507614.21
3,3300000,507614.21
2,3300000,505050.51
6,3400000,552486.19
3,3400000,555555.56
4,3400000,552486.19
0,3400000,555555.56
5,3400000,555555.56
2,3400000,555555.56
1,3400000,555555.56
4,3500000,540540.54
1,3500000,537634.41
6,3500000,540540.54
0,3500000,540540.54
3,3500000,537634.41
5,3500000,540540.54
2,3500000,540540.54
2,3600000,440528.63
3,3600000,440528.63
0,3600000,442477.88
6,3600000,442477.88
1,3600000,442477.88
4,3600000,440528.63
5,3600000,440528.63
0,3700000,390625.00
6,3700000,390625.00
4,3700000,392156.86
5,3700000,392156.86
3,3700000,392156.86
1,3700000,390625.00
2,3700000,392156.86
6,3800000,510204.08
4,3800000,510204.08
0,3800000,510204.08
2,3800000,510204.08
5,3800000,510204.08
3,3800000,510204.08
1,3800000,510204.08
1,3900000,540540.54
2,3900000,540540.54
6,3900000,540540.54
5,3900000,540540.54
3,3900000,540540.54
0,3900000,540540.54
4,3900000,540540.54
0,4000000,500000.00
6,4000000,500000.00
